CRF 参数调优日志
时间戳: Sun May  4 08:35:15 UTC 2025
模型: /workspace/model_best.pth.tar
参数 (iters, sxy_g, compat_g, sxy_b, srgb_b, compat_b) | 提取到的mIoU
---------------------------------------------------------------------------------
5, 3, 3, 80, 10, 3 | 0.6585
5, 3, 3, 80, 10, 5 | 0.6405
5, 3, 3, 80, 10, 10 | 0.5780
5, 3, 3, 80, 13, 3 | 0.6570
5, 3, 3, 80, 13, 5 | 0.6378
5, 3, 3, 80, 13, 10 | 0.5723
5, 3, 3, 80, 20, 3 | 0.6548
5, 3, 3, 80, 20, 5 | 0.6337
5, 3, 3, 80, 20, 10 | 0.5637
5, 3, 3, 80, 30, 3 | 0.6531
5, 3, 3, 80, 30, 5 | 0.6308
5, 3, 3, 80, 30, 10 | 0.5581
5, 3, 3, 120, 10, 3 | 0.6581
5, 3, 3, 120, 10, 5 | 0.6387
5, 3, 3, 120, 10, 10 | 0.5576
5, 3, 3, 120, 13, 3 | 0.6568
5, 3, 3, 120, 13, 5 | 0.6363
5, 3, 3, 120, 13, 10 | 0.5516
5, 3, 3, 120, 20, 3 | 0.6552
5, 3, 3, 120, 20, 5 | 0.6333
5, 3, 3, 120, 20, 10 | 0.5442
5, 3, 3, 120, 30, 3 | 0.6541
5, 3, 3, 120, 30, 5 | 0.6315
5, 3, 3, 120, 30, 10 | 0.5410
10, 3, 3, 80, 10, 3 | 0.6558
10, 3, 3, 80, 10, 5 | 0.6348
10, 3, 3, 80, 10, 10 | 0.5605
10, 3, 3, 80, 13, 3 | 0.6541
10, 3, 3, 80, 13, 5 | 0.6318
10, 3, 3, 80, 13, 10 | 0.5535
10, 3, 3, 80, 20, 3 | 0.6518
10, 3, 3, 80, 20, 5 | 0.6276
10, 3, 3, 80, 20, 10 | 0.5419
10, 3, 3, 80, 30, 3 | 0.6501
10, 3, 3, 80, 30, 5 | 0.6247
10, 3, 3, 80, 30, 10 | 0.5357
10, 3, 3, 120, 10, 3 | 0.6553
10, 3, 3, 120, 10, 5 | 0.6329
10, 3, 3, 120, 10, 10 | 0.5347
10, 3, 3, 120, 13, 3 | 0.6540
10, 3, 3, 120, 13, 5 | 0.6305
10, 3, 3, 120, 13, 10 | 0.5261
10, 3, 3, 120, 20, 3 | 0.6523
10, 3, 3, 120, 20, 5 | 0.6275
10, 3, 3, 120, 20, 10 | 0.5173
10, 3, 3, 120, 30, 3 | 0.6512
10, 3, 3, 120, 30, 5 | 0.6257
10, 3, 3, 120, 30, 10 | 0.5135
