CRF 参数调优日志 (Round 2)
时间戳: Mon May  5 00:53:45 UTC 2025
模型: /workspace/model_best.pth.tar
参数 (iters, sxy_g, compat_g, sxy_b, srgb_b, compat_b) | 提取到的mIoU
---------------------------------------------------------------------------------
5, 1, 1, 80, 5, 1 | 0.6822
5, 1, 1, 80, 5, 2 | 0.6774
5, 1, 1, 80, 5, 3 | 0.6703
5, 1, 1, 80, 7, 1 | 0.6815
5, 1, 1, 80, 7, 2 | 0.6759
5, 1, 1, 80, 7, 3 | 0.6680
5, 1, 1, 80, 10, 1 | 0.6808
5, 1, 1, 80, 10, 2 | 0.6744
5, 1, 1, 80, 10, 3 | 0.6657
5, 1, 2, 80, 5, 1 | 0.6816
5, 1, 2, 80, 5, 2 | 0.6774
5, 1, 2, 80, 5, 3 | 0.6713
5, 1, 2, 80, 7, 1 | 0.6809
5, 1, 2, 80, 7, 2 | 0.6760
5, 1, 2, 80, 7, 3 | 0.6690
5, 1, 2, 80, 10, 1 | 0.6803
5, 1, 2, 80, 10, 2 | 0.6745
5, 1, 2, 80, 10, 3 | 0.6668
5, 1, 3, 80, 5, 1 | 0.6814
5, 1, 3, 80, 5, 2 | 0.6781
5, 1, 3, 80, 5, 3 | 0.6730
5, 1, 3, 80, 7, 1 | 0.6808
5, 1, 3, 80, 7, 2 | 0.6768
5, 1, 3, 80, 7, 3 | 0.6709
5, 1, 3, 80, 10, 1 | 0.6802
5, 1, 3, 80, 10, 2 | 0.6755
5, 1, 3, 80, 10, 3 | 0.6689
5, 3, 1, 80, 5, 1 | 0.6798
5, 3, 1, 80, 5, 2 | 0.6747
5, 3, 1, 80, 5, 3 | 0.6675
5, 3, 1, 80, 7, 1 | 0.6791
5, 3, 1, 80, 7, 2 | 0.6731
5, 3, 1, 80, 7, 3 | 0.6652
5, 3, 1, 80, 10, 1 | 0.6784
5, 3, 1, 80, 10, 2 | 0.6717
5, 3, 1, 80, 10, 3 | 0.6629
5, 3, 2, 80, 5, 1 | 0.6764
5, 3, 2, 80, 5, 2 | 0.6715
5, 3, 2, 80, 5, 3 | 0.6650
5, 3, 2, 80, 7, 1 | 0.6757
5, 3, 2, 80, 7, 2 | 0.6699
5, 3, 2, 80, 7, 3 | 0.6626
5, 3, 2, 80, 10, 1 | 0.6750
5, 3, 2, 80, 10, 2 | 0.6684
5, 3, 2, 80, 10, 3 | 0.6602
5, 3, 3, 80, 5, 1 | 0.6734
5, 3, 3, 80, 5, 2 | 0.6690
5, 3, 3, 80, 5, 3 | 0.6632
5, 3, 3, 80, 7, 1 | 0.6727
5, 3, 3, 80, 7, 2 | 0.6674
5, 3, 3, 80, 7, 3 | 0.6608
5, 3, 3, 80, 10, 1 | 0.6720
5, 3, 3, 80, 10, 2 | 0.6660
5, 3, 3, 80, 10, 3 | 0.6585
